Simp-Uni	Simp-C	S-attest	Trad
\u62FF	拿	83	㧱拏
\u6302	挂	66	掛
\u631A	挚	12	摯
\u631B	挛	7	攣
\u631C	挜	1	掗
\u631D	挝	2	撾
\u631E	挞	5	撻
\u631F	挟	12	挾
\u6320	挠	15	撓
\u6321	挡	36	擋攩
\u6322	挢	1	撟
\u6323	挣	8	掙
\u6324	挤	37	擠
\u6325	挥	44	揮
\u6326	挦	1	撏
\u6328	挨	42	捱
\u6332	挲	5	挱
\u633D	挽	20	輓
\u6342	捂	3	摀
\u6346	捆	4	綑
\u634D	捍	4	扞
\u634F	捏	14	揑
\u635E	捞	17	撈
\u635F	损	57	損
\u6361	捡	1	撿
\u6362	换	113	換
\u6363	捣	17	搗
\u636E	据	83	㨿據
\u6376	捶	10	搥
\u6377	捷	46	㨗
\u638F	掏	7	搯
\u63B3	掳	4	擄
\u63B4	掴	2	摑
\u63B7	掷	10	擲
\u63B8	掸	4	撣
\u63BA	掺	4	摻
\u63BC	掼	1	摜
\u63D2	插	52	揷
\u63FD	揽	17	攬
\u63FE	揾	4	搵
\u63FF	揿	2	搇撳
\u6400	搀	7	攙
\u6401	搁	13	擱
\u6402	搂	7	摟
\u6405	搅	15	攪
\u6412	搒	2	榜
\u643A	携	17	㩗㩦攜擕
\u6444	摄	43	攝
\u6445	摅	1	攄
\u6446	摆	57	擺
\u6447	摇	51	搖
\u6448	摈	4	擯
\u644A	摊	41	攤
\u6484	撄	1	攖
\u6485	撅	5	噘
\u6491	撑	18	撐
\u64B0	撰	11	譔
\u64B5	撵	3	攆
\u64B7	撷	2	擷
\u64B8	撸	2	擼
\u64BA	撺	2	攛
\u64CD	操	78	撡
\u64DE	擞	4	擻
\u6512	攒	6	攢
\u6548	效	97	傚俲効
\u654C	敌	74	敵
\u6551	救	91	捄
\u6555	敕	5	勅勑
\u655A	敚	1	敓
\u655B	敛	22	斂
\u6563	散	147	㪚
\u6566	敦	35	㪟
\u6570	数	475	數
\u6573	敳	1	敱
\u658B	斋	27	亝齋
\u6593	斓	2	斕
\u6597	斗	164	鬥鬭鬦鬪
\u65A9	斩	18	斬
\u65AB	斫	7	斲斵
\u65AD	断	156	斷
\u65CB	旋	92	鏇
\u65D7	旗	127	旂
\u65E0	无	740	無
\u65E7	旧	128	舊
\u65F6	时	441	時旹
\u65F7	旷	27	曠
\u65F8	旸	1	暘
\u6606	昆	36	崑崐
\u660F	昏	49	昬
\u6619	昙	4	曇
\u6620	映	36	暎
\u6625	春	165	旾
\u662F	是	128	昰
\u6635	昵	8	暱
\u663C	昼	14	晝
\u663D	昽	1	曨
\u663E	显	84	顯
\u6643	晃	17	㨪
\u664B	晋	40	晉
\u6652	晒	23	曬
\u6653	晓	23	曉
\u6654	晔	4	曄
\u6655	晕	38	暈
\u6656	晖	6	暉
\u6670	晰	7	晳皙
\u6682	暂	18	暫蹔
\u6696	暖	52	㬉煖煗
\u6697	暗	97	晻闇
\u66A7	暧	3	曖
\u66A8	暨	6	鱀
\u6700	最	68	㝡冣
\u671B	望	142	朢
\u671F	期	240	朞
\u672D	札	20	剳劄
\u672F	术	175	術朮
\u6731	朱	49	硃
\u6734	朴	28	樸
\u6735	朵	18	朶
\u673A	机	603	機
\u6740	杀	151	殺
\u6742	杂	123	雜襍
\u6743	权	216	權
\u6746	杆	82	桿
\u6751	村	69	邨
\u6760	杠	25	槓
\u6761	条	187	條
\u6765	来	344	來
\u6768	杨	61	楊
\u6769	杩	1	榪
\u676F	杯	50	盃桮
\u6770	杰	59	傑
\u677E	松	151	鬆
\u677F	板	221	闆
\u6781	极	126	極
\u6784	构	78	構
\u679C	果	172	菓
\u679E	枞	7	樅
\u67A2	枢	16	樞
\u67A3	枣	22	棗
\u67A5	枥	3	櫪
\u67A7	枧	1	梘
\u67A8	枨	1	棖
\u67AA	枪	115	槍鎗
\u67AB	枫	8	楓
\u67AD	枭	7	梟
\u67CF	柏	54	栢
\u67DC	柜	36	櫃
\u67E0	柠	14	檸
\u67F3	柳	70	栁桺
\u67FD	柽	1	檉
\u67FF	柿	7	柹
\u6800	栀	3	梔
\u6805	栅	11	柵
\u6807	标	193	標
\u6808	栈	42	棧
\u6809	栉	6	櫛
\u680A	栊	1	櫳
\u680B	栋	6	棟
\u680C	栌	1	櫨
\u680E	栎	6	櫟
\u680F	栏	31	欄
\u6811	树	171	樹
\u6816	栖	22	棲
\u6817	栗	33	慄
\u6837	样	107	樣
\u6838	核	221	覈
\u683E	栾	6	欒
\u684C	桌	36	槕
\u6851	桑	60	桒
\u6860	桠	3	椏
\u6861	桡	3	橈
\u6862	桢	2	楨
\u6863	档	49	檔
\u6864	桤	3	榿
\u6865	桥	107	橋
\u6866	桦	10	樺
\u6867	桧	2	檜
\u6868	桨	7	槳
\u6869	桩	11	樁
\u6881	梁	80	樑
\u6885	梅	82	楳槑
\u68A6	梦	61	夢
\u68BC	梼	2	檮
\u68BE	梾	2	棶
\u68BF	梿	4	槤
\u68C0	检	95	檢
\u68C2	棂	6	櫺欞
\u68CB	棋	37	棊碁
\u68D5	棕	32	椶
\u68F0	棰	3	箠
\u68F1	棱	26	稜
\u68F9	棹	2	櫂
\u6901	椁	2	槨
\u690E	椎	25	柱
\u691F	椟	2	櫝
\u6920	椠	1	槧
\u6924	椤	2	欏
\u692D	椭	8	橢
\u692E	椮	1	槮
\u6960	楠	11	枏柟
\u6966	楦	6	楥
\u696B	楫	2	檝
\u697C	楼	105	樓
\u6982	概	35	槩
\u6984	榄	17	欖
\u6985	榅	2	榲
\u6987	榇	1	櫬
\u6988	榈	8	櫚
\u6989	榉	3	櫸
\u699C	榜	21	牓
\u69A8	榨	9	搾
\u69C1	槁	3	槀
\u69DA	槚	1	檟
\u69DB	槛	15	檻
\u69DF	槟	12	檳
\u69E0	槠	1	櫧
\u6A2A	横	140	橫
\u6A2F	樯	2	檣艢
\u6A31	樱	10	櫻
\u6A3D	樽	5	罇
\u6A5B	橛	2	橜
\u6A65	橥	2	櫫
\u6A71	橱	8	櫥
\u6A79	橹	7	㯭櫓樐艣艪
\u6A7C	橼	3	櫞
\u6A90	檐	10	簷
\u6AA9	檩	1	檁
\u6B22	欢	71	歡懽讙驩
